Vehicle_No,Date,Time,Location,Lat,Lng,Speed,Vehicle_Status,GPS,Distance-KM,Vehicle_Batt.-V,Route
BJA8742,1/12/18,8:00:19 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.75,0
BJA8742,1/12/18,8:03:19 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.62,0
BJA8742,1/12/18,8:06:20 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.75,0
BJA8742,1/12/18,8:09:20 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.75,0
BJA8742,1/12/18,8:12:21 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.75,0
BJA8742,1/12/18,8:15:21 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition off; ,GOOD,0,24.62,0
BJA8742,1/12/18,8:38:46 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,24.49,0
BJA8742,1/12/18,8:38:46 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,24.49,0
BJA8742,1/12/18,8:39:46 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.59,0
BJA8742,1/12/18,8:40:47 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.33,0
BJA8742,1/12/18,8:41:47 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.33,0
BJA8742,1/12/18,8:42:47 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.07,0
BJA8742,1/12/18,8:43:47 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.2,0
BJA8742,1/12/18,8:44:48 AM,"261, Jalan Serunai 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6655561,103.5865026,0,Ignition on; Idling; ,GOOD,0,27.33,0
BJA8742,1/12/18,8:45:48 AM,"Lot 15570, Jalan Air Hitam, Batu 24, Johor, Kulai",1.666349,103.587464,9.26,Ignition on; Moving; ,GOOD,0.03,27.07,0
BJA8742,1/12/18,8:46:48 AM,"Lot 15570, Jalan Air Hitam, Batu 24, Johor, Kulai",1.666349,103.587464,0,Ignition on; Idling; ,GOOD,0.01,27.2,0
BJA8742,1/12/18,8:47:48 AM,"q23, Jalan Air Hitam, Batu 21, Kulai, Johor",1.667288,103.5877209,9.26,Ignition on; Moving; ,GOOD,0.04,27.2,0
BJA8742,1/12/18,8:48:48 AM,"Lot 7318 Jalan Air Hitam Batu 21,, Kulai, Johor,",1.6674044,103.5892073,0,Ignition on; Idling; ,GOOD,0.15,26.68,0
BJA8742,1/12/18,8:49:49 AM,"Lot 7318 Jalan Air Hitam Batu 21,, Kulai, Johor,",1.6674044,103.5892073,0,Ignition on; Idling; ,GOOD,0.01,26.94,0
BJA8742,1/12/18,8:50:49 AM,"16, Jalan Seruling 1, Taman Sri Kulai Baru 2, Kulai, Johor",1.6685481,103.5862187,33.34,Ignition on; Moving; ,GOOD,0.24,27.2,0
BJA8742,1/12/18,8:51:49 AM,"185, Jalan Pinang 3, Taman Kota Kulai, Kulai, Johor",1.6687441,103.5824532,0,Ignition on; Idling; ,GOOD,0.45,26.94,0
BJA8742,1/12/18,8:52:49 AM,"185, Jalan Pinang 3, Taman Kota Kulai, Kulai, Johor",1.6687441,103.5824532,0,Ignition on; Idling; ,GOOD,0,27.2,0
